[03:44:23] umvc3_shaderdump loaded
[03:44:23] IAT hook installed: Direct3DCreate9 was 00007FF87F8FC0C0
[03:44:23] Direct3DCreate9(32) -> 000000001AF921E0
[03:44:23]   hooked slot 16  CreateDevice         00007FF803767E80 in gameoverlayrenderer64.dll
[03:44:23] CreateDevice ok, device 000000001B1FAF20 - hooking its vtable
[03:44:23]   hooked slot 91  CreateVertexShader   00007FF87F8F7800 in d3d9.dll
[03:44:23]   hooked slot 106 CreatePixelShader    00007FF87F8C5C80 in d3d9.dll
[03:44:23]   hooked slot 92  SetVertexShader      00007FF87F90C2A0 in d3d9.dll
[03:44:23]   hooked slot 107 SetPixelShader       00007FF87F90B6B0 in d3d9.dll
[03:44:23] device hooked; shaders will be written to C:\Program Files (x86)\Steam\steamapps\common\ULTIMATE MARVEL VS. CAPCOM 3\shaderdump
[03:44:23] vertex shader #126    1404 bytes  crc A46DBC6E  version 3_0  -> vs_0126_A46DBC6E.bin
[03:44:23] vertex shader #127     888 bytes  crc 253EB8DF  version 3_0  -> vs_0127_253EB8DF.bin
[03:44:23] vertex shader #128    2240 bytes  crc 3EE9237B  version 3_0  -> vs_0128_3EE9237B.bin
[03:44:23] vertex shader #129    1344 bytes  crc 20995041  version 3_0  -> vs_0129_20995041.bin
[03:44:23] vertex shader #130    1232 bytes  crc 6C3144A6  version 3_0  -> vs_0130_6C3144A6.bin
[03:44:23] vertex shader #131     648 bytes  crc 43F8D4CA  version 3_0  -> vs_0131_43F8D4CA.bin
[03:44:23] vertex shader #132    1540 bytes  crc C2FF6DFE  version 3_0  -> vs_0132_C2FF6DFE.bin
[03:44:23] vertex shader #133     840 bytes  crc ABF4A0AD  version 3_0  -> vs_0133_ABF4A0AD.bin
[03:44:23] vertex shader #134    1044 bytes  crc EA895713  version 3_0  -> vs_0134_EA895713.bin
[03:44:23] vertex shader #135    1992 bytes  crc 8FAFE7CE  version 3_0  -> vs_0135_8FAFE7CE.bin
[03:44:23] vertex shader #136    1144 bytes  crc B38EE031  version 3_0  -> vs_0136_B38EE031.bin
[03:44:23] vertex shader #137    1284 bytes  crc 863B8933  version 3_0  -> vs_0137_863B8933.bin
[03:44:23] vertex shader #138    1280 bytes  crc C2A37875  version 3_0  -> vs_0138_C2A37875.bin
[03:44:23] vertex shader #139     776 bytes  crc EDB8F09F  version 3_0  -> vs_0139_EDB8F09F.bin
[03:44:23] vertex shader #140     652 bytes  crc B1C65FCF  version 3_0  -> vs_0140_B1C65FCF.bin
[03:44:23] vertex shader #141    1400 bytes  crc B428A807  version 3_0  -> vs_0141_B428A807.bin
[03:44:23] vertex shader #142    1432 bytes  crc DE7317F7  version 3_0  -> vs_0142_DE7317F7.bin
[03:44:23] vertex shader #143    1368 bytes  crc 130F72DF  version 3_0  -> vs_0143_130F72DF.bin
[03:44:23] vertex shader #144    2100 bytes  crc 93D7274A  version 3_0  -> vs_0144_93D7274A.bin
[03:44:23] vertex shader #145     752 bytes  crc C87F84A7  version 3_0  -> vs_0145_C87F84A7.bin
[03:44:23] vertex shader #146    1176 bytes  crc 6418208B  version 3_0  -> vs_0146_6418208B.bin
[03:44:23] vertex shader #147    1344 bytes  crc D6C06B7B  version 3_0  -> vs_0147_D6C06B7B.bin
[03:44:23] vertex shader #148     900 bytes  crc 0467996D  version 3_0  -> vs_0148_0467996D.bin
[03:44:23] vertex shader #149    1196 bytes  crc E4FE3D98  version 3_0  -> vs_0149_E4FE3D98.bin
[03:44:23] vertex shader #150    1212 bytes  crc 2053589A  version 3_0  -> vs_0150_2053589A.bin
[03:44:23] vertex shader #151    1292 bytes  crc C429DCAC  version 3_0  -> vs_0151_C429DCAC.bin
[03:44:23] vertex shader #152    1344 bytes  crc 3BDBF0D5  version 3_0  -> vs_0152_3BDBF0D5.bin
[03:44:23] vertex shader #153    1240 bytes  crc B4106A30  version 3_0  -> vs_0153_B4106A30.bin
[03:44:23] vertex shader #154    1000 bytes  crc B080AAED  version 3_0  -> vs_0154_B080AAED.bin
[03:44:23] vertex shader #155    1092 bytes  crc EC3C0D00  version 3_0  -> vs_0155_EC3C0D00.bin
[03:44:23] vertex shader #156    1248 bytes  crc DC13A0B7  version 3_0  -> vs_0156_DC13A0B7.bin
[03:44:23] vertex shader #157    1256 bytes  crc 4081F20B  version 3_0  -> vs_0157_4081F20B.bin
[03:44:23] vertex shader #158     532 bytes  crc AA27DAAA  version 3_0  -> vs_0158_AA27DAAA.bin
[03:44:23] vertex shader #159    1052 bytes  crc 6B9F5774  version 3_0  -> vs_0159_6B9F5774.bin
[03:44:23] vertex shader #160     960 bytes  crc EA9B2632  version 3_0  -> vs_0160_EA9B2632.bin
[03:44:23] vertex shader #161    1304 bytes  crc D97FF180  version 3_0  -> vs_0161_D97FF180.bin
[03:44:23] vertex shader #162    1256 bytes  crc 599DE3E5  version 3_0  -> vs_0162_599DE3E5.bin
[03:44:23] vertex shader #163     828 bytes  crc 0C1A01D7  version 3_0  -> vs_0163_0C1A01D7.bin
[03:44:23] vertex shader #164    1328 bytes  crc 4A1888A4  version 3_0  -> vs_0164_4A1888A4.bin
[03:44:23] vertex shader #165    1180 bytes  crc 933297BE  version 3_0  -> vs_0165_933297BE.bin
[03:44:23] vertex shader #166    1844 bytes  crc D7B1E9A6  version 3_0  -> vs_0166_D7B1E9A6.bin
[03:44:23] vertex shader #167    2044 bytes  crc 079116FD  version 3_0  -> vs_0167_079116FD.bin
[03:44:23] vertex shader #168    1496 bytes  crc D48A58ED  version 3_0  -> vs_0168_D48A58ED.bin
[03:44:23] vertex shader #169     664 bytes  crc F360956B  version 3_0  -> vs_0169_F360956B.bin
[03:44:23] vertex shader #170    1864 bytes  crc 50B58C87  version 3_0  -> vs_0170_50B58C87.bin
[03:44:23] vertex shader #171     568 bytes  crc 9A78E585  version 3_0  -> vs_0171_9A78E585.bin
[03:44:23] vertex shader #172     860 bytes  crc CE93C5F2  version 3_0  -> vs_0172_CE93C5F2.bin
[03:44:23] vertex shader #173    1344 bytes  crc E22A4591  version 3_0  -> vs_0173_E22A4591.bin
[03:44:23] vertex shader #174     784 bytes  crc 304FC3CB  version 3_0  -> vs_0174_304FC3CB.bin
[03:44:23] vertex shader #175     648 bytes  crc 6854B618  version 3_0  -> vs_0175_6854B618.bin
[03:44:23] vertex shader #176    2032 bytes  crc 86C1E387  version 3_0  -> vs_0176_86C1E387.bin
[03:44:23] vertex shader #177    1664 bytes  crc AF74A22F  version 3_0  -> vs_0177_AF74A22F.bin
[03:44:23] vertex shader #178     860 bytes  crc 4468F02B  version 3_0  -> vs_0178_4468F02B.bin
